"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Ba lô","0"
"0","","0","","1","0","","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo khoác","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo len","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo polo","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Tất cả sản phẩm","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo thun","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Trang chủ (Home Page)","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo sơ mi","0"
"0","SEO Optimization","1","PHẦN A — Tiêu chuẩn cơ bản (parse HTML tĩnh)","0","0","Phân tích SEO chuyên sâu: Áo ni - sweater","0"
